first_release_date,id,name,platforms,summary,storyline,genres,rating,main,extra,completionist,review_score,review_count,people_polled
1133913600,210460,The Sims 2,[38],The PlayStation Portable version of the game is played in third person The game contains elements of roleplaying games and has more of a solid storyline the player is required to navigate through in order to unlock most of the things available in the other versions  The option to build your own home is replaced by a prebuilt home where you can customize the furniture and decor Conversations and jobs are carried out via a minigame function The players character does not age nor are they able to marry or have children but they can have a significant other and WooHoo  Relationships are mainly used for the point of solving goals though a close friend may move in with the player after progressing in the game When the player completes a goal their sanity meter represented as a Plumbob will fill up slightly and if the player actively doesnt complete their goals the sanity meter will rapidly deplete until the player is hospitalised or abducted by aliens  The player can also earn Sanity Points by completing goals which they can use to unlock special perks Another feature unique to this and the Nintendo DS version are Secrets which the player can find scattered around Strangetown or by socialising with characters,The game begins with the players character driving through the Strangetown desert presumably the Road to Nowhere in their car when suddenly a flying green diamond Also known as the Plumbob the marker and logo of the Sims games flies past the player and causes them to lose control of and damage their car Fortunately the player finds a gas station The player takes their car into the garage At that point the player takes control The player is introduced to a vehicle mechanic named Oscar who after a brief tutorial in teaching the player how to talk to NPC Sims informs the player their car will only take a short while to fix  The player is then free to roam around the gas station and after being introduced to some more NPCs including Bella Goth who claims to be abducted by aliens completing tasks and being taught the basic objective of the game which is Secret Hunting for the store clerk The player then exits the shop only to find the garage around the back has completely disappeared along with Oscar and their car with only the foundation of the garage remaining The only thing left from the disappearance is a cell phone which the player answers and a man named Doctor Dominic Newlow offers the player a job requiring him or her to get a ride into town and find a place to stay  The player informs Police Deputy Duncan about the situation who replies that he can do nothing about it and suggests the player find a place to stay After having bought Bellas house for pocket change and getting donuts for Deputy Duncan which happen to have been found in the trash the player finally gets a lift into Strangetowns Paradise Place only to find more tasks and mysteries,[13],Missing,32.19,58.47,185.41,77.0,287.0,80.0
1135900800,207129,Portable Island: Te no Hira no Resort,[38],Portable Island Tenohira Resort is a Japanese AdventureSimulation where the player spends time on a pretty resort island The game is all about enjoying the leisurely atmosphere of a vacation You can explore in natural settings like the jungle volcano and desert collect insects or seashells or experience island life,Missing,"[13, 31]",Missing,nan,nan,nan,nan,nan,nan
1135209600,205062,Tennis no Ouji-sama: Gakuensai no Ouji-sama,[8],Tennis no Oujisama Gakuensai no Oujisama is an otome game developed by WinkySoft and published by Konami which was released in Japan in 2005,The Atobe group has decided to sponsor a school festival which involves the local schools tennis teams You are a 14 year old heroine who is in charge of managing a team and the festival Your duties include arranging activities and organizing people Youll have to get in contact with the members of the team so they can lend a hand get to know one another chat with them and maybe even develop an intimate relationship with one of them,"[14, 34]",Missing,nan,nan,nan,nan,nan,nan
1135209600,204225,Slotter Up Core 8,[8],Slotter Up Core 8  Gokuenda Kyojin no Hoshi 3 is a pachinko simulation based on the anime known as Kyojin no Hoshi Star of the Giants,Missing,[33],Missing,nan,nan,nan,nan,nan,nan
1135987200,193353,Rayman 10th Anniversary,"[8, 21]",Compilation with Rayman M Rayman 3 and Rayman The Animated Series This version of the bundle was only released in France,Missing,[8],Missing,nan,nan,nan,nan,nan,nan
1135987200,178411,New Rally-X Arrangement,[38],Missing,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1135987200,178410,Dig Dug Arrangement,[38],Missing,Missing,[33],Missing,0.0,0.0,0.91,75.0,2.0,1.0
1134604800,166451,Cartagra: Tamashii no Kunou,[8],Cartagra Tamashii no Kunou is a console port for Cartagra Affliction of the Soul,Missing,"[31, 34]",Missing,nan,nan,nan,nan,nan,nan
1135987200,143244,Future GPX Cyber Formura Road to the Infinity 2,[8],Future GPX Cyber Formura Road To The INFINITY 2 is a PS2 game that was released in 2005 It featured an interactive storyline that included characters from the anime voice actors and some original characters,Missing,[10],Missing,nan,nan,nan,nan,nan,nan
1134000000,123417,Taiko no Tatsujin: Wai Wai Happy! Rokudaime,[8],Sixth Taiko no Tatsujin game released on PlayStation 2 Sudden Death and speed modifiers were added,Missing,[7],Missing,0.0,1.92,0.0,65.0,2.0,1.0
1135987200,122571,Medical 91,"[6, 8, 38]",Medical 91 is a Japanesestyle visual novel The majority of the game is spent reading and listening to the story unfold though Yuna will often be given choices that will cause the story to branch in varying ways At many points it is possible to move freely throughout the hospital to speak with the other characters on numerous subjects with the story only proceeding once the proper conversations have taken place There are also certain segments where the player must choose locations to escape pursuit as well as avoid capture in a timingbased minigame,Missing,Missing,Missing,nan,nan,nan,nan,nan,nan
1134000000,98658,Simple 2000 Series Vol. 92: The Noroi no Game,[8],The Noroi no Game is an Adventure game developed by HuneX and published by D3Publisher which was released in Japan in 2005,Missing,[31],Missing,nan,nan,nan,nan,nan,nan
1135987200,93335,SingStar: Norske Hits,[8],The Norwegian SingStar edition contains both material from the international edition and hits by Norwegian artists Gameplay undergoes no major changes,Missing,[7],Missing,nan,nan,nan,nan,nan,nan
1135209600,74838,Duel Savior Destiny,"[6, 8]",There is a prophecy that every 1000 years when the destruction draws near the Messiah will come from a different world to the root world of Avatar and save them all  Mia Touma while returning home from school finds an old but highly decorated book When she shows it to her brother Taiga the book teleports them to another world  Avatar  When they awaken they find themselves in a world reminiscent of Medieval Europe Before they understand whats happening an energetic woman comes before them and tells them they have become Savior Candidates  They must use the training they learn at the school to defeat the Lords of Ruin and Ruin itself to save Avatar and every other world along with their friends However Taiga finds he has become the Red Apostle which complicates matters greatly What is going on with the fight with Ruin Will he actually be able to become the Messiah and save Avatar,Missing,"[12, 31, 34]",Missing,0.0,0.0,0.0,0.0,0.0,0.0
1135987200,73847,AFL Premiership 2005,"[6, 8, 11]",AFL Premiership 2005 is based off the Australian Rules Football game that is quite popular in southern parts of Australia Based off the official rules and has full licensing from the AFL board It is a mixture of a few sports originally developed by a Australian Cricket Coach who wanted to keep his team fit in the off season It is mainly played throughout the state of Victoria but has now gotten a following in other states  The game includes all the 16 teams 692 AFL players with stats and 8 of the stadiums The game also includes support for the Cameo Eyetoy PS2 version that will allow the player to put hisher head into the game on top of one of the players Full multiplayer gameplay is supported using Gamespy for online play or using the Multitap you can have up to 4 players The PS2 version also comes with a bonus 100 Years of Australian Football DVD  The later released Xbox and PC versions do not contain the DVD but because of the later release changes from the AFL draft have been implemented even though the overall team score has not been updated,Missing,[14],Missing,0.0,0.0,0.0,0.0,0.0,0.0
1135209600,73012,Simple Series 2000 Vol. 90: The Oneechanbara 2,[8],The Oneechanbara 2 is an Action game developed by Tamsoft and published by D3Publisher which was released in Japan in 2005,Missing,[25],Missing,nan,nan,nan,nan,nan,nan
1135987200,72974,Backyard Football 2006,"[8, 24]",The 2006 version of the backyard football series,Missing,[14],Missing,0.0,0.0,0.0,55.0,2.0,0.0
1135987200,71947,Fu-un Bakumatsuden,"[8, 38]",Fuun Bakumatsuden is a Japanese PlayStation 2 game made in 2005 by Genki Co as a followup to Fuun Shinsengumi,Missing,[31],Missing,nan,nan,nan,nan,nan,nan
1135987200,71443,MVP Baseball,[38],MVP Baseball is the first game in the MVP franchise to appear on the PSP,Missing,[14],Missing,nan,nan,nan,nan,nan,nan
1134432000,71407,Midway Arcade Treasures: Extended Play,[38],Midway Arcade Treasures Extended Play includes 21 arcade games that are the best of Midway Arcade Treasures 1  Midway Arcade Treasures 2 Enjoy the coinop masterpieces of the past for the first time on a portable system with multiplayer wireless support Now you can play classic arcade games anywhere anytime with Midway Arcade Treasures Extended Play for the Sony PSP Portable Entertainment System,Missing,[33],Missing,0.0,0.0,0.0,0.0,0.0,0.0
1135209600,69883,Sega Ages 2500 Vol. 23: Sega Memorial Selection,[8],This game is a compilation containing five early Sega arcade games including 1979s Head On Each have been given significant graphical and audio upgrades though emulated versions of the originals are also selectable There are also various scans of flyers and other promotional material The game was brought to the Japanese PlayStation Network service as part of the PlayStation 2 Classics range in October 2012 This version is simply known as Sega Memorial Selection,Missing,[33],Missing,nan,nan,nan,nan,nan,nan
1135209600,67046,Simple 2000 Series Ultimate Vol. 29: K-1 Premium 2005 Dynamite!!,[8],The 2005 edition of this martialarts fighting game features many reallife martial arts experts who can compete under K1 rules or modern Mixed Martial Arts rules,Missing,[4],Missing,nan,nan,nan,nan,nan,nan
1134604800,64794,All-Star Fighters,[8],Known in Japan as The AllStar Kakutou Matsuri AllStar Fighters is the 91st entry in the Simple 2000 budget game series for the PS2 bringing together characters and locales from many different Simple 2000 games in a bizarre fighting tournament,Missing,[4],Missing,0.51,0.0,0.0,55.0,2.0,3.0
1135987200,64603,Growlanser IV: Wayfarer of Time Return,[8],A visual novel fandisc Growlanser IV Wayfarer of Time  Return containing three short stories was released on PS2 in 2005,Missing,[34],Missing,nan,nan,nan,nan,nan,nan
1134000000,64406,Momotaro Dentetsu 15: Godai Bombi Toujou! no Maki,[8],Momotaro Dentetsu 15 Godai Bombi Toujou no Maki is a video game in the Momotaro Dentetsu series of board gamestyle video games genre released in December 8 2005 by Hudson Soft for the PlayStation 2 The game was only released in Japan,Missing,[35],Missing,nan,nan,nan,nan,nan,nan
1135987200,62356,Jissen Pachi-Slot Hisshouhou! Aladdin II Evolution,[8],A slot machine simulator,Missing,[13],Missing,nan,nan,nan,nan,nan,nan
1135814400,59388,Comic Party Portable,[38],Comic Party Portable is a nonadult port of Comic Party an adult visual novel for PC Windows While there may not have been new additions to the story the PSP port features full voiceacting,Missing,[34],Missing,nan,nan,nan,nan,nan,nan
1135987200,59077,Kenran Butou Sai: The Mars Daybreak,[8],An Alfa System and Sony Computer Entertainment PlayStation 2 exclusive adventure game  Kenran Butou Sai 絢爛舞踏祭 translates to The Mars Daybreak is a realtime simulation adventure game published in Japan by Sony Computer Entertainment for the PlayStation 2 on July 7 2005 The title is a spiritual successor to Gunparade March containing the same style of hybrid gameplay where the player interacts with AI controlled NPCs and then participates in combat segments with them Sonys Prokion and Alfa System developed Kenran Butou Sai with the title being a part of the studios larger interconnected universe known as Unkown World  A television anime based off the world of Kenran Butou Sai but focusing on a different story and characters aired a year before the games launch in 2004 called Mars Daybreak The show was produced by Bones and was later released in North America by Bandai Entertainment in 2006,Missing,[31],Missing,0.0,0.0,0.0,0.0,0.0,0.0
1134604800,59001,Jet de GO! Pocket,[38],Jet de GO Pocket is the third installment of Taitos flight simulation series for Sony consoles and the first one to be released on PSP The first title in the series Jet de GO was released on PlayStation in 2000 and its sequel simply titled Jet de GO 2 was released on PlayStation 2 in 2002  Just like its predecessors the game allows the player to take the captains chair in the cockpit of a commercial airliner making flights to and from major Japanese cities such as Tokyo Osaka and Sapporo The game features a variety of airplanes such as the Boeing B747 B777 and B767 different weather and daytime conditions and flight plans The player can choose between three game modes Flight Trial and Replay  Since the game is endorsed by Japan Airlines a real world airline it is not actually possible to crash an airplane Collisions with the ground are shown in a simplified fashion where the plane simply stops once it touches down resulting in a Game Over screen  Although the game was only released in Japan it features partially English menus,Missing,[13],Missing,nan,nan,nan,nan,nan,nan
1135987200,57643,Black Market Bowling,"[8, 9]",Take to the lanes with this exciting bowling game featuring a large and diverse cast of crazy personalities Whether you choose the brooding Ivan the Giant the innocentlooking school girl Pearl the sweet grandma Edna or the toocool Miles youre sure to be up for a bowling challenge in the six diverse locations,Missing,[14],Missing,0.0,0.0,0.0,0.0,0.0,0.0
1135209600,56396,Daisenryaku Portable,[38],Daisenryaku Portable is a military turnbased strategy game for the PlayStation Portable published by Genki  The game takes place on a battlefield of hexagons upon which the player assembles an army The aim is to capture cities and factories in order to increase available resources The hexagons are rendered in an isometric view with no rotation supported but the individual attacks are rendered in 3D The game supports use of the ad hoc wireless mode of the PlayStation Portable for two player multiplayer The main campaign takes place in the Far East in the twentyfirst century The factions in the game are fictional versions of Japan USA Russia China South Korea and North Korea,Missing,[15],Missing,nan,nan,nan,nan,nan,nan
1135987200,47019,Crazy Chicken Remake,"[6, 130, 167]",Aim shoot chickens from the sky and reload Singleplayer multiplayer and 1 vs 1 duel mode,Missing,"[5, 33]",Missing,0.0,0.2,1.0,60.0,1.0,2.0
1134691200,43667,Yakuza Fury,[8],Duty Friendship and Betrayal Can you reach the top in the world of honor  Your honor will increase or decrease based on your playing skills If you behave well you will be promoted and become a boss With money earned in fighting you can buy various pieces of clothing and personalize your hero Acquire new skills according to the clothes you wear,Missing,[4],Missing,1.0,0.0,0.0,15.0,1.0,2.0
1134604800,43623,Friends: The One With All The Trivia,[8],Over 3000 questions and 700 clips highlighting memorable moments from all 10 seasons of the sensational show  Play along with yopur hosts featuring the voice talents of Janice Gunther and Jack  Judy Geller  Single and multiplayer modes let you test your Friends knowledge solo or with a group offriends,Missing,[26],Missing,0.93,0.0,0.0,0.0,0.0,2.0
1134691200,43587,Fire Heroes,[8],Fire Heroes is a firefighting game set in Clayton Tower a new nearly complete 30 story sky scraper that houses a shopping mall on its bottom floors A fire breaks out in the tower as the towers owners and clients hold a Christmas party Your goal is to find and rescue victims of the fire  You play as three characters Douglass Brantly is a 31yearold fire fighter with the SACity fire department Hes fought fires for 15 years and is represented by the key word Brave Max Broderick is a 28yearold agent with the SAPD police force Hes represented by the keyword Justice Finally theres Scott Winkler a 27yearold architect who designed Clayton Tower Scott is represented by the keyword Love Each characters has different abilities For example one has a pistol while the other has a full set of firefighting equipment complete with a fire hose  This adventure will test the decisionmaking ability of the player to the limit its going to be a tough task to succeed against all odds,Missing,[31],Missing,0.0,0.0,0.0,0.0,0.0,0.0
1135987200,43484,Singstar: Svenska Hits,[8],The Singstar concept has met great success in Scandinavia but earlier releases had only English songs Consumers wanted to sing songs they knew in their own language and Singstar svenska hits was born The game follows the same layout as previous games in the series but with new artists,Missing,[7],Missing,nan,nan,nan,nan,nan,nan
1134518400,43455,Stuart Little 3: Big Photo Adventure,[8],Following the destruction of Georges photography project in a freak flying accident Stuart Little must save the day by scampering around New York City snapping everything in sight Donning an exciting wardrobe including golfing attire a Native American costume and a firemans uniform Stuart will gain extra abilities required to complete his daring challenges Along the way players can explore the Big Apple in a range of miniature vehicles including a stunt bike a helicopter a speedboat and a military tank,Missing,"[8, 10, 31]",Missing,4.62,5.76,7.72,62.0,13.0,7.0
1135987200,43430,Prince of Persia Trilogy: Limited Edition,"[6, 8, 9]",This is a bundle that includes the three games from the sands trilogy of the Prince of Persia franchise namely Prince of Persia The Sands of Time Prince of Persia Warrior Within and Prince of Persia The Two Thrones The limited edition includes some bonus goodies including wallpapers soundtrack artwork etc,Missing,"[9, 31]",Missing,nan,nan,nan,nan,nan,nan
1134604800,43423,Magna Carta: Tears of Blood - Deluxe Box Set,[8],An RPG that combines Westernstyled history and graphic design with Japanesestyled RPG gameplay from Korean developer Softmax one of the first games for the launch of PS2 in Korea The sarcastic hero Calintz Jerevinan sets out for adventure after returning home ho his home land of Shudelmir and finds the place overrun with disaster Along the way he will meet the mysterious girl Adora the frosty Princess Juclesia and other characters in a gigantic game world powered by the ASURA engine The game uses a FFstyle Active Battle system with Time Points for movement and attach manuever planning and each character can use one of seven kinds of Carta for tremendous special techniques  Bonus materials include a poster a mini strategy guide and art bookRevenge is the only thing that can erase this hatredIn the land of Efferia humans and nativeEfferians uneasily coexist in the throes of an endless war A young man out for revenge against the natives finds a girl whos lost her memoriesWhere will destiny lead them,Missing,[12],Missing,nan,nan,nan,nan,nan,nan
1134604800,43403,All Star Fighting,[8],The craziest heroes and heroines Whos the toughest Its time to stop talking and start fighting  14 unique characters from bikinigirl to chansaw boy Characters from D3Publishers games come together for a headtohead show down Each has their own unique and distinctive style its up to you to master them  The impact system is key to winning Learn your fighters combos and special moves If your energy is running low use a super impact attack to turn the tables on your enemy  Multiple game modes and bonus features Play a wide variety of game modes Including practise mode for trying out new fighters survival mode for testing your stamina race against the clock in an attempt to defeat all characters in time attack mode and more,Missing,[4],Missing,nan,nan,nan,nan,nan,nan
1134604800,43385,Flow: Urban Dance Uprising,[8],Flow Urban Dance Uprising is a breakdancing rhythm game that features a soundtrack of hip hop artists including 50 urban dance tracks by the likes of the Sugar Hill Gang Kurtis Blow and Eric B  Rakim Gamers can compete against as many as seven other players and choose from a host of dancers that perform classic breakdance moves in one of 10 different urban settings    Flow was originally announced as a component to Eidos Get On Da Mic and was known as Get On Da Floor In 2005 it became a PS2 exclusive title brought to market by publisher Ubisoft,Missing,"[7, 13]",Missing,nan,nan,nan,nan,nan,nan
1134172800,43325,Simple 2000 Series Vol. 88: The Mini Suke Porisu,[8],You are Momo Samejima a special forces agent Your mission is to assassinate the leader of an organization thats secretly selling a potent new drug Perorin Youll make use of guns and grenades as you sneak into a city and face off against enemies in 3D She tackles thugs with swift kicks in her short short skirt She blasts away at goons in her stockingaccessorized ultrashort chinalook dress,Missing,[31],Missing,nan,nan,nan,nan,nan,nan
1135987200,43291,Stealth Force: The War on Terror,[8],Spanning the vast deserts of the Middle East you must bring the War on Terror home to those who would terrorise the free world As an elite member of Special Forces you must use all your skills and a fearsome arsenal of weaponry to prevent the Elzar Organisation from achieving their sinister objective,Missing,[5],Missing,0.95,0.0,0.0,10.0,1.0,2.0
1135814400,38460,Super Robot Taisen MX Portable,[38],This is the PSP port of the PS2 game Super Robot Wars MX Its pretty much the same game with some minor gameplay tweaks  Although the game itself isnt too hard it has improved several aspects of the game most notably the presentation of attacks which gives the game even more of an anime feel than before This game also has a series list that would please American fans with 4 featured titles already released in America Gundam Chars Counterattack Nadesico Prince of Darkness Rahxephon and Neon Genesis Evangelion New systems such as the Double Attack system and Favourite System are also thrown in as Banpresto continue to refresh their series again and again,Missing,"[12, 15]",Missing,nan,nan,nan,nan,nan,nan
1134691200,23141,TalkMan,[38],Thanks to TalkMan  and a large blue multilingual bird called Max PSP PlayStationPortable is on a mission to break the ice and tear down those barriers that keep nationalities apart Bring the art of language to your gestures put words behind the shrugs turn Spanglish into perfecto Espanol make the move on the girl or guy in that foreign bar who catches your eye  in short become a jetsetter able to communicate in six languages with more than 3000 crucial phrases at your fingertips  Following the recent success of the Asian version in Japan and Korea Talkman is coming to Europe and Australasia this spring on PSP courtesy of Sony Computer Entertainment Europe TalkMan is the portable language entertainment tool and interactive phrasebook that makes sure you are ready to talk  wherever you are and comes packed with the phrases that count in six languages French English German Spanish Italian and of course Japanese,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
1135987200,22573,Gene Troopers,"[6, 8, 11]",A long war has ended and the Galactic Empire has grown but it isnt stable Rebel groups still fight the regime but with the invention of genetic transformation a normal civilian can be transformed into a mindless easy to command but strong fighting unit These civilians werent asked they were forced to undergo the procedure You play one of these civilians First they took your daughter and then they came for you But before the procedure was completed you were rescued by the rebels Now its your turn to fight back,Missing,[5],Missing,8.0,9.0,10.5,60.0,2.0,3.0
1135209600,22550,EyeToy: Kinetic,[8],A fitness game that utilizes the EyeToy camera including a wideangle lens attachment to allow players to work out in interactive games work on posture and balance and tone their body with conditioning exercises Features include Aero Motion and Combat Mind and Body Zone and The Toning Zone The game features design input from Nike,Missing,[14],Missing,0.0,0.0,0.0,45.0,1.0,0.0
1134864000,22548,LMA Manager 2006,"[8, 11]",All new transfer system all new look same brilliant gameplay  LMA Manager 2006 represents a massive leap forward in the series  now with an even more realistic transfer market  and as challenging and playable as ever  Realistic Transfer System Giving you more complex negotiations and more control than ever before  Stunning 3D Match See your manager take charge from the touchline  Brand New Look Incredible new visuals and more realistic look  Share Content  Update Your Stats Online  Commentary from Alan Hansen  Gary Lineker,Missing,"[13, 14]",Missing,0.0,0.0,0.0,20.0,1.0,0.0
1134086400,20483,Crazy Frog Racer,"[6, 8]",Based on the ludicrously popular animated short and cellphone annoyance this videogame features the froglike critter that goes something like Ading ding ding ding ding dddingding ding bing BPHACH Bomm bdom bom ddom dom bom ddom bay bom bdom bom bom bbbom bom booooooohm boohm bom ddom bomb ahem bom bdom bom bom bdom bdom ddhomddhomddhombddddd brrhhhhddddddddddddddd bhrremddddddddddd bhrimdddddddddd bhrandddddddddddddddd bhramdddddddddddddddd bombombombom bom Bom Booohm BOOOOHM BOOOOOOOHHHHHHHHM WHEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEE  Crazy Frog Racer is a highspeed highoctane wacky racer Players can either choose to play as The Annoying Thing and DDing Ding their way to victory or play as one of eight other characters on 12 racetracks in single and multiplayer racing,Missing,[10],Missing,1.06,1.52,1.78,41.0,18.0,11.0
1134000000,12299,Samurai Warriors: State of War,[38],Samurai Warriors State of War is a portable version of Samurai Warriors however it is not a straight conversion and is made to more resemble Dynasty Warriors giving it an Samurai Warriors Empires style of playing The gameflow is mainly separated into two stages the Strategy phase and the Action phase During the first stage the map is separated into colored squares and the player is asked to move their character in a turnbased fashion Terrain affects how the player can act during this stage What usually follows is the action phase which asks the player to defeat as many opponents possible within 60 seconds These stages can tip the battle in the players favor There are four main armies for the player to participate in the Takeda Western Uesugi Eastern Nobunaga or the solo army Completing the game with these four factions unlocks the final stage in the game It guest stars characters from Dynasty Warriors 4 The game features a Story mode Free mode and VS mode,Missing,"[4, 15, 25, 31]",Missing,10.5,30.25,0.0,70.0,3.0,2.0
1135209600,7251,Wrestle Kingdom,"[8, 12]",FIGHT The greatest pro wrestling organizations fight for domination Create your own wrestler and become the legend of your league Take on your rivals and dominate the opposition Wrestle Kingdom is here,Missing,"[4, 14]",Missing,6.02,0.0,0.0,0.0,0.0,1.0
1134086400,6022,Rugby League 2,"[6, 8, 11]",Missing,Missing,[14],Missing,15.0,65.0,0.0,40.0,2.0,4.0
1135987200,5855,Greg Hastings' Tournament Paintball MAX'D,"[8, 11, 20, 24]",The sequel to the original Tournament Paintball game,Missing,"[5, 13, 14]",Missing,nan,nan,nan,nan,nan,nan
1134345600,5844,Gauntlet: Seven Sorrows,"[8, 11, 12]",Gauntlet is back for yet another iteration The Emperor has crucified his four loyal heroes to a magic tree driven by a maniac thirst for their immortality Hundreds of years later as only a ghost he came to regret all the wrong deeds he has done and frees them asking them to defeat his six former advisors in an attempt to undo what he has done  This version of Gauntlet goes back to the roots The warrior valkyrie elf and wizard fight their way through hordes of enemies to make their way to the six bosses The game is mostly a hacknslash affair puzzles are limited to finding keys and pressing buttons that open doors and portals Every character has a unique set of moves and attacks The warrior has rather powerful attacks the valkyrie has quick moves the elf can shoot powerful arrows and the wizard has several magical range attacks  Defeating enemies gives you experience points that may be used to increase your three stats some chests in the levels contain better armor or weapons Also new moves can be purchased with gold  The game can be played both in singleplayer as well as cooperative multiplayer where up to four players fight together  The newest feature of this game other than the much better graphics is the online gaming feature Played online the game is identical to a regular multiplayer game with each player on a different box,Missing,"[25, 31]",Missing,4.74,0.0,8.64,60.0,19.0,11.0
1134086400,5838,Ford vs. Chevy,"[8, 11]",Few rivalries in American history evoke stronger emotional reactions than that of the oldest rivalry in American Motorsports  Ford vs Chevy This competition appeals to tens of millions of Ford and Chevy owners and NASCAR racing fans Ford vs Chevy takes players to the town of Westington where residents and rivals Tyrone Baker and Eddie Olson got things started way back in the earliest days of motoring by racing their Ford Model T and Chevy 490 Over the years their rivalry grew and soon other Ford and Chevy owners started to join in the fun Out of this rivalry the Westington Cup was born And so we come to today  the Westington Cup tournament is about to begin As a driver for either the Ford or the Chevy team its time to defend your pride as you battle in a variety of different races missions and vehicles Its furious fun as you race 48 of the hottest Ford and Chevy cars trucks and race cars of all time,Missing,[10],Missing,0.0,6.5,0.0,35.0,2.0,1.0
1135209600,4878,G1 Jockey 4,[8],G1 Jockey 4 lets players take the reins and experience the feeling of being a top racehorse jockey This fourth game in the hugely popular series introduces a new ranking system and abilities as well a revolutionary analogue control system,Missing,"[10, 13, 14]",Missing,nan,nan,nan,nan,nan,nan
