first_release_date,id,name,platforms,summary,genres,rating
882489600,3611,Tamagotchi 64: Minna de Tamagotchi World,[4],Tamagotchi 64 Minna de Tamagotchi World is a Nintendo 64 game released only in Japan in 1997 It is a virtual board game based on the Tamagotchi toy,"[13, 35]",Missing
883094400,3556,Shin Nippon Pro Wrestling: Toukon Road - Brave Spirits,[4],Step into the ring with the bravest fighting souls of the New Japan Pro Wrestling league and fight your way to the top With incredible 3D graphics and an intuitive control system Toukon Road brings the most realistic wrestling action ever presented in video games,"[4, 14]",Missing
882403200,3497,Flying Dragon,[4],Create your ideal fighting game using the customizable interface Choose between RPGstyle and virtual tournament combat The game has over 20 different characters and 200 different items Save your characters on a Controller Pak and play them against your friends,"[4, 12]",Missing
881280000,3477,Dual Heroes,[4],Virtual gamers challenge you in a hot battle Train your own robot Cool heroes battle it out using combo attacks in 3D space Exciting battles against CPU gamers with personality Train your robot and have it fight in the autobattle Give it all youve got to win a medal,[4],Missing
881625600,286,Quake II,"[3, 4, 6, 7, 12, 14, 16, 240]",Quake II is a firstperson shooter video game developed by id Software and published by Activision It is not a direct sequel to Quake id decided to revert to an existing trademark when they were unable to agree on a new name that did not violate another companys trademark,[5],83.42126189523265
883526400,39299,Strikers 1945 II,"[6, 7, 32, 34, 39, 48, 49, 52, 130]",Continuing where the last game ended the forces of CANY had been demolished by the previous Strikers lineup However a small group known as the FGR stole the sources and technology responsible for the last events and planned to continue CANYs work by initiating worldwarfare with massive mech technology Once again the Strikers are called into action,"[5, 33]",83.0
882662400,3213,Yoshi's Story,"[4, 5, 41]",Baby Bowser has taken the Super Happy Tree and cast a spell on Yoshis world turning it into the pages of a picture book The only Yoshis not affected by the spell were six hatchlings that were still protected by their shells Its up to them to reclaim the Super Happy Tree and restore happiness to the world That is the only thing that can break Baby Bowsers Spell,[8],72.60495040015851
881884800,3342,Snowboard Kids,"[4, 7]",The kids are arguing about their snowboarding skills The debate escalates to the point where they decide to hold a snowboarding tournament to determine who is the best One character Shinobin has no involvement whatsoever until he is unlocked by the player  In addition to the usual gameplay of a snowboarding game Snowboard Kids adds Shots special weapons used to attack players and items which can help the player hinder other players or both  The game has nine main courses Although some of the courses are snowy mountains many are courses that would be unorthodox for snowboarding in the real world Such courses include an amusement park a desert a vast valley a dark highway and a Japanese village during the cherry blossom festival  There were several game mechanics that were unique to Snowboard Kids from other snowboard games and racing games at the time One was the addition of the second item slot allowing each player to carry a shooting item and support item such as a rock or invisibility at the same time Also players needed to pay 100 gold in order to grab an item during the race which could be obtained either through performing tricks or collecting coins scattered across the course All courses also required players to race down the hill for multiple laps Once a player had reached the bottom of the hill he or she would need to pass through the lift gate to be transported back to the top of the hill and could not be attacked by other players in this transition,"[10, 14]",70.6962209757992
882489600,3329,AeroGauge,[4],In the tradition of FZero and Wipeout AeroGauge is a scifi racer that pits you and a friend in a fast paced race to the finish through futuristic tracks and among detailed craft acting more like planes than racers as they skim many metres above the ground Play solo through the grand prix and compete against the AI enemy or beat down your best time in the time trial mode  Each track features a number of twists and turns whether it be racing upside down or vertically with a number of obstacles in your path Theres no weapons though its just you and the open road ahead,"[10, 33]",68.38938065592438
882403200,3546,Nagano Winter Olympics '98,"[4, 7]",The Nagano Winter Olympic Games are here Experience all of the thrills spills and chills as you compete for glory against the rest of the world Its time to find out what youre made ofCan you bring home a medal 12 exciting Olympic events 16 different countries 14 player action Set new world records and save them to your Controller Pak Realtime motion captured athletes,[14],51.38012508439861
883526400,43184,Princess Maker 3: Fairy Tales Come True,"[6, 7, 23, 32, 130]",Princess Maker 3 Fairy Tales Come True to Steam on end of June 2017 This new release contains the original concept and feel to its series but also had been upgraded to be compatible on Window 7 and above OS and optimized to fit 169 aspect ratio In addition to system upgrade the game utilizes the Steam achievement system,"[12, 13, 15, 31]",50.0
