first_release_date,id,name,platforms,summary,genres,rating
1188259200,47889,The Wild West,[20],Shoot bad guys collect gold and stop a train robbery in The Wild West Use the Touch Screen to shoot and throw dynamite in both 2D and 3D levels set in wild untamed environments Put on your cowboy hat and load up your sixshooters for the gunslinging fun of The Wild West,Missing,Missing
1187481600,47871,Cosmetic Paradise,[20],Put on makeup and become a pretty girl,[31],Missing
1188086400,47837,The Soukou Kihei Gun Ground,[20],Pilot a fully customizable mech suit in this side scrolling action game You can swap parts and add upgrades to make your mech suit unique to you  This game features random level generation and a branching story that makes for tons of replay value Youll never play through the same game twice  There is also a multiplayer versus mode in which up to 4 players can connect wirelessly and battle it out using just one cartridge  This game is a must own for any fans of the Mobile Suit Gundam series or any other mech related games or anime,Missing,Missing
1188432000,47819,One Piece: Gear Spirit,[20],One Piece Gear Spirit is a fighting game for the Nintendo DS based on the manga and anime One Piece,[4],Missing
1186099200,47779,Platinum Sudoku,"[20, 34, 39]",Includes both Sudoku and Kakuro games at multiple difficulty levels,[9],Missing
1188432000,23104,Rafa Nadal Tennis,[20],Rafa Nadal Tennis will give players the chance to develop an illustrious tennis career The games single player Career Mode enables gamers to rise through the ranks of professional tennis competing in 20 tournaments at 17 international locations Beyond the single player Career Mode doubles matches can be played in the games multiplayer modes which enable up to four players to compete wirelessly,[14],Missing
1188432000,18314,Worms: Open Warfare 2,"[20, 38]",Worms Open Warfare 2 features a ton of single player content new multiplayer modes like Forts mode and Race mode and of course you can customize teams and schemes to your hearts content On Nintendo DS the gameplay takes place spread over both screens there is full support for all wireless modes including Nintendo WiFi Connection and the included landscape and flag editors are designed specifically for touch screen use  The Nintendo DS exclusive Laboratory mode features three types of experiments Blow Blast and Draw Blow asks you to guide a parachuting worm to the exit by controlling the airflow in the level Blast sees the player making explosions on screen to blast their worm to the exit and Draw allows players to draw directly onto the landscape to save a worm from being blasted into the water,[15],87.0
1186617600,58538,SD Gundam G Generation: Cross Drive,[20],A Nintendo DS exclusive entry into the longrunning tactical RPG series SD Gundam G Generation,"[15, 16, 24]",74.0
1186617600,21481,Rondo of Swords,[20],The King of Bretwalde is dead His passing both unexpected and unusual leaves the kingdom in distress As one realm mourns another readies for war the Grand Meir Empire intent on conquering the world prepares to strike the empty throne Taken by surprise the army of Bretwalde collapses under the vicious assault and the capital city of Egvard is quick to fall Only Spanta the sacred blade can spare the kingdom of its fate Free it of its curse and restore honor and peace to the land,"[12, 15]",74.0
1188259200,5221,Tiger Woods PGA Tour 08,"[5, 6, 8, 9, 12, 14, 20, 38]",The game incorporates the FedExCup championship format a collection of tournaments with rounds of golf at Westchester Country Club TPC Boston Cog Hill and East Lake The putt preview has been improved allowing the player to simulate the balls path once per individual spot taking into accounts elements such as power speed and elevation On the Xbox 360 and the PS3 shots are not performed using the analog stick but with the 3point timed principle for start power and accuracy Shot Confidence is a new addition keeping track of the players performance on certain courses for specific puts and using certain clubs Great performances raise the confidence which translates into experience and better performance on specific courses Low confidence leads to lower accuracy a pumping heartbeat and rumbling controls on the Wii  On the Wii players can shake the controls to taunt the opponents with 4 different moves to throw them off It can be used to influence air conditions spin or adds audio distractions The controls are available in 3 modes Full Swing wii remote Sitting Swing new waggle the wii remote or the classic controls using the nunchuck for analog play In Full Swing twisting the wii remote adds hooks and slices prior to shots Also exclusive to the Wii is a Miniputt mode,"[13, 14]",70.0
1187827200,9585,Final Fantasy: Crystal Chronicles - Ring of Fates,[20],Final Fantasy Crystal Chronicles  Ring of Fates is a prequel to Final Fantasy Crystal Chronicles for the Nintendo DS  Yuri and Chelinka are fraternal twins who live happily with their father in a small village but their happiness comes to an abrupt end when an ancient evil force arrives Now with his family shattered Yuri begins to train so that he can be strong enough to fight when the evil returns Yuri and Chelinka set out on their quest to find their friends avenge their family and heal their world,"[12, 31]",69.97961060373962
1188432000,21477,Summon Night: Twin Age,[20],Reiha and Aldo grew up together as brother and sister on the tropical island of Jarazi among a race of people with beastlike features There they learned to commune with the Nature Spirits that surrounded them One day the Spirits began acting strangely prompting Reiha and Aldo to investigate Their quest to find out who or what is behind the corruption of the Spirits will lead them back to the human lands where the cataclysm first brought them together,[12],68.0
1186617600,1099,DK: Jungle Climber,"[20, 41]",DK Jungle Climber is the sequel to DK King of Swing 2005 for the Game Boy Advance featuring similar gameplay However the visuals have been designed to more closely resemble Donkey Kong Country and add dual screen support,[8],60.89395799142176
1186444800,91846,Face Training: Facial Exercises to Strengthen and Relax from Fumiko Inudo,"[20, 159]",Face Training Facial exercises to strengthen and relax from Fumiko Inudo Facening JP is a Nintendo DS video game released in 2006 by Nintendo Nintendo first party Intelligent Systems developed the game while Fumiko Inudo a beauty expert in Japan assisted with the development of the game In Japan the game came packaged with a camera that could be placed in the Game Boy Advance slot of the original Nintendo DS and DS Lite In Europe the game is now a DSi exclusive since it utilize the DSi camera feature The game is a face training game that is capable of reading various expressions made with the users face The game was one of the many Touch Generations video games and was unfortunately not released in the US or outside of Europe or Japan This game is a part of the Touch Generations line of games,Missing,57.0
1186099200,86493,The Settlers,[20],The Nintendo DS version of Settlers 2 ported from the Gold Edition,"[11, 15]",57.0
1187654400,4731,Brunswick Pro Bowling,"[5, 8, 9, 12, 37, 38, 39, 41, 48, 49]",Work your way from an amateur to a true professional Brunswick Pro Champion Featuring realtime changing lane conditions for the player to master during the course of a match authentic Brunswick bowling products to improve your characters performance and ten different environments to choose from,[14],50.0
1186012800,21487,Drone Tactics,[20],Transported to an alien world you find yourself in the middle of a great conflict An army of evil Drones is on the march threatening to obliterate the land of Cimexus Its inhabitants now turn to you to lead them in battle against the Black Swarm Each level offers new challenges and taking full advantage of each Drones unique specialties will be the difference between success and defeat,[15],43.0
1188172800,4056,Carnival Games,"[5, 20, 39, 130]",Step right up to Carnival Games Each game is designed from the ground up to take full advantage of the Nintendo DS control mechanism A frenzied combination of tapping blowing speaking and stylus maneuvering brings the nowfamous midway to life,"[15, 33]",33.0
