first_release_date,genres,id,name,platforms,rating,storyline,summary
1034899200,"[4, 14]",4093,Rocky,"[8, 11, 21]",69.99075262960537,Missing,Based on the famous movie series of the same name about good boxer Rocky Balboa played by Sylvester Stallone  The boxing simulator game has several modes including Movie Mode Exhibition and Knockout Tournament In Movie Mode you can follow the movie series starting each part with three minor opponents and finishing the big boss in the end Each character has personal weaknesses Also you can train Rocky prior to each fight
1034640000,"[5, 15, 31]",4083,Red Faction II,"[6, 8, 11, 21, 48]",67.89421773142068,On Mars in the year 2080 five years after the events of Red Faction the nanotechnology developed by Axel Capek the head scientist of the Ultor Corporation prior to its fall has been claimed by the Earth Defense Force EDF With this technology the EDF commences a reorganization of the Ultor Corporation with a particular focus on enhanced supersoldiers and suitable weaponry However the research that was done by Capek in his laboratories has been consequently stolen by other militant groups and assorted terrorist organizations This has gone on for years the research has changed hands in the criminal underworld many times The player is introduced to their role as an explosives expert codenamed Alias as he embarks on a special operations mission to claim the research data for the Republic of the Commonwealth  Eventually the research is successfully claimed by the elite forces of Victor Sopot Chancellor of the dystopic military state known as The Commonwealth Sopot uses the nanotechnology to enhance his already formidable military forces and successfully creates the first supersoldiers with the research data However fearing the potential of his new supersoldiers he orders them all to be hunted down executed and replaced with far less intelligent mutated horrors known as The Processed Collectively betrayed by their leader the players squad flees underground and ally themselves with the Red Faction as mercenaries The Red Faction at this point in the story is an organized resistance movement that is strongly opposed to the rule of Sopot and the skewed political tenets of The Commonwealth The squad eventually pursues Sopot and neutralizes all opposition in their way as the Red Faction takes the conflict to the streets in a joint uprising against the rule of The Commonwealth During the initial stages of the game the Red Faction and the squad mutually support each other as they overcome shared objectives such as sabotaging propaganda installations The uprising culminates in successfully trapping Sopot in his missile silo and executing him  Alias returns to the makeshift base of operations only to discover that all of the Red Faction resistance members present have been brutally slaughtered The squads leader Molov remarks that with Sopot dead and with the nanotech research in his possession the Commonwealths military forces have voluntarily pledged allegiance to him He declares Alias and Tangier a fellow squadmember to be enemies of the state for supporting the Red Faction Tangier helps Alias escape and shortly after fleeing to safety Alias lends aid to surviving Red Faction members who are defending themselves from the enemy Alias and Echo another squadmember meet up in a secret location to discuss an alternate strategy to stop Molov and Echo is killed in action during a firefight with Quill a former squadmember Tangier radios Alias soon afterward and the two agree to shut down Molovs commandeered nanotech laboratory located within the colossal statue of Sopot Inside the laboratory Alias triumphs over Repta a former squadmember and destroys the nanotech laboratorys power generators Aliass explosives weaken the foundation of the statue and render it unstable Alias encounters Repta again and once again triumphs over him causing the energy field within Repta to reach critical mass  Alias and Tangier meet up and pursue Molov who is scaling Sopots statue with the nanotech cell  the culmination of Capeks research  and awaiting extraction from Shrike Molovs subordinate Shrike betrays his commanding officer and Tangier manages to reclaim the nanotech cell from Molovs possession Molov desperate to eliminate his enemies climbs aboard a nearby battle armor and launches a frenzied assault against Alias Using the destructible environment to his advantage Alias manages to evade Molovs fire and launches a counterattack that not only kills Molov but also destroys the statue As the statue crumbles Shrike swoops in with his close air support craft to extract Alias From this point the story ends in one of four possible ways depending on the players Heroics score,In Red Faction II you will have to defend your country as Alias a demolitions expert with the help of your five squad members each specializing in their own method of destruction Fight through diverse levels using vehicles an arsenal of specialized weapons and massive explosives in your rampage to overthrow the government
1034035200,[4],3935,Godzilla: Destroy All Monsters Melee,"[8, 11, 21]",63.38534232520008,The plot involves an alien race known as the Vortaak invading the Earth and assuming control of the planets giant monsters sending them to attack cities across the globe One monster breaks free from the Vortaaks control and battles the other monsters in order to drive off the Vortaak,Godzilla Destroy All Monsters Melee is a fighting game developed and published by Pipeworks Software Inc for the Nintendo GameCube in 2002 The game was later released for Game Boy Advance as Godzilla Domination A version for the Xbox with additional content was released in 2003 A PlayStation 2 version was planned but later cancelled
1035763200,[5],3760,Star Wars: The Clone Wars,"[8, 11, 21]",60.36333457522731,Missing,The Clone Wars has you deep inside the battles of the Old Republic through 16 missions piloting a range of vehicles including speeder bikes Republic Gunships and fighter tanks as well as the weapon of the Jedi your lightsabre for close combat Whereas the Rogue Squadron series concentrated on aerial battles The Clone Wars contains almost all ground battles You must fight as Anakin Skywalker Obi Wan Kenobi Mace Windu and others throughout the game to prevent the Confederacy from gaining a deadly weapon Multiplayer options are also included for up to four players with game types including deathmatch conquest and a coop ground and vehicle survival mode
1034640000,[4],4577,X-Men: Next Dimension,"[8, 11, 21]",58.09629041068679,Missing,XMen Next Dimension is a fighting game and the third game in the XMen Mutant Academy game series Next Dimension expands upon the concept of the first two games by adding several new characters 3D maps and a story mode which allows the player to fight a series of battles in between short movies that move the plot along The plot of the story mode is loosely based on the comic story Operation Zero Tolerance
1035849600,[14],3438,Outlaw Golf,"[6, 21]",58.0,Missing,Golf meets strippers excons and wannabe rappers In Outlaw Golf you can step into the shoes of all kinds of criminals and compete in 30 tour events With each event youll unlock new characters and better equipment and improve your characters skills Challenge three of your friends in eight different games including stroke match skins best ball casino and more Play like a pro and the game gets easier play poorly and the game becomes tougher
1033689600,[10],4074,Pro Rally 2002,"[8, 21]",54.0,Missing,Pro Rally 2002
1035676800,"[13, 14]",904,Tiger Woods PGA Tour 2003,"[6, 8, 11, 14, 21]",49.0,Missing,Tiger Woods PGA Tour 2003 is a 2002 golf video game released by EA Sports Among the features in the game is the Tiger Challenge in which the player is matched against real or fantasy golfers one at a time There is also a scenario mode with 50 scenarios challenging the players skills in a variety of realistic settings The game also includes a tournament mode that simulates a season on the PGA Tour
1035331200,[14],4192,Swingerz Golf,[21],45.0,Missing,Tee up on 6 courses featuring diverse terrains and seasonal weather condition Compete with 14 offbeat golfers each with distinct personalities and golfing abilities Experience realistic golfing physics with Ace Golfs intuitive analog swing system Master multiple modes of play for 14 golfers including Tournament Stroke Match and Short Course Win tournaments and beat rivals to upgrade your golf gear Enjoy golfing action with addictive mini games
1035244800,[31],4086,Reign of Fire,"[8, 11, 21]",45.0,Missing,Based on the movie Reign of Fire lets you play as either a human or a dragon in an epic battle As a human youll take the role of a resistance fighter whos trying to defend the last remaining humans from attack You must make your way to the site of the sole male dragon using a variety of wellequipped vehicles and hightech weaponry
1036022400,"[8, 31]",3675,Shrek Extra Large,[21],44.0,Missing,Shrek Extra Large is packed with 10 levels twisted fairy tale characters cutscenes and actionpacked gameplay Play as your favorite characters from the movie Shrek or as new fairy tale characters In order to rescue Princess Fiona you must explore 10 different fairy tale lands and compete in more than 50 missions Your character can perform a variety of power moves such as punch kick grab superflatulance and belch When youre not in combat you can watch 15 brandnew cutscenes
1034726400,[10],2653,Hot Wheels Velocity X,"[6, 8, 21]",43.0,Missing,When a criminal gang of streetracing villains overtakes futuristic Monument City you must put their driving skills and mean street machines to the ultimate test  Hot Wheels Velocity X is a game based on Mattels Hot Wheels line of miniature racing vehicles In the game you have to drive one of over 30 Hot Wheels cars in race on the 3D curvilinear tracks which include banded loops or crazy stunt launchers During the race the weapon attacks and powerups are available The racing is missionbased with more than 37 missions across six levels to complete
1034121600,"[8, 31]",4583,Zapper: One Wicked Cricket!,"[6, 8, 11, 12, 21, 24]",39.74014027825687,uring a squabble over television Zapper tries to use his brother Zipper a grub as a substitute TV antenna Zipper is snatched away by an infamous thieving magpie Maggie who leaves an egg at the scene of the crime Unfortunately much to his dismay Zapper sets off and determines to rescue his brother and turn Maggie into a jailbird At the end of the game Zapper gets Zipper back after defeating Maggie and finally sets him up as a substitute TV antenna just in time to watch TV by himself,Zapper is an actionpacked and addictive game that starts with the avoidemup game play mechanics of Blitz Games own Frogger 2 Swampys Revenge and then takes the action to a whole new level In this actionadventure game Zapper a cricket hops his way through six interactive worlds in a quest to find his brother held captive by the evil magpie queen Dangerous traps and even more dangerous enemies await Zapper It will take fastfooted skill and timing to conquer all the worlds and survive the final showdown with the magpie queen
1033689600,"[8, 31]",3887,Disney's PK: Out of the Shadows,"[8, 21]",39.0,Donald Duck was minding his business one day at his boring security guard job when the evil Evronian empire decided to attack Earth A computer being known as One detected the invasion early and teams up with Donald to turn him into the superhero PK Now it is PKs job to repel the alien invasion,The PK character may be unfamiliar to American audiences but he is popular in Italy and some other parts of Europe through a series of comic books This game is a simple 3rd person action shooter game You control PK as he targets Evronian soldiers with his blasters jumps through colorful environments and rescues captured scientists
1035936000,Missing,2764,Nickelodeon Party Blast,"[6, 11, 21]",38.0,Missing,A party game featuring Nicktoons characters
1033603200,"[10, 13]",4162,Speed Challenge: Jacques Villeneuve's Racing Vision,"[6, 8, 21]",32.0,Missing,Missing
1035504000,[14],4072,Pool Edge,[21],25.0,Missing,Missing
1034121600,[14],3908,Evolution Skateboarding,"[8, 21]",25.0,Missing,Evolution Skateboarding is a 2002 skateboarding video game released by Konami for the PlayStation 2 and GameCube It consists of several popular skateboarders such as Rick McCrank Arto Saari Kerry Getz and Danny Way There is also a createaskater feature and an unlockable character for every skater the player completes the game as There are also sets of level specific songs such as the metalremix of the Metal Gear Solid theme and a Castlevania theme after unlocking the Vampire Hunter Levels are unlocked by beating a certain amount of objectives in a current level such as collecting items like boots and other objects performing tricks in certain areas of a level and the occasional grinding a certain amount of meters The Evolution Skateboarding engine was used in the bonus skateboarding mode included in the PlayStation 2 version of Metal Gear Solid 2 Substance
1036022400,"[12, 31]",3926,Gakuen Toshi Vara Noir,"[8, 21]",23.0,Missing,The threat of demonic invasion gives impetus to the fledgling Simba Empire to found a school of magic called Vara Noir With the world recovering after a devastating war the Empire uses the school to train students in the ways of battle and magic to prepare for any imminent and faroff threats Enter 13year old chimney sweeper Myu who cleans smokestacks and other debris laden orifices One day her grandpappy hands her a mighty sword and a few ducats and commands her to apply to Vara Noir for an education in the mystic arts Myu takes the entrance examination and passes with flying colors As such she enters Vara Noir academy and goes on an adventure where she will eventually help save the kingdom  Idea Factorys latest game in the Kingdom of Chaos series features dungeon exploration character interaction and an MegamiTenseiesque item synthesis system where special items found in dungeons may be bonded with weapons to increase attack power imbue properties etc Interaction sequences are of the point n click sort where questions and answers are rattled off in routine fashion  Originally released on the PS2 Gakuen Toshi Vara Noir joins the Gamecube library with new animation sequences and graphical updates which freshen up the adventure for old and new gamers to enjoy
1033862400,[4],50586,Zoids VS,[21],22.0,Missing,The first incarnation of the Zoid Vs series released in Japan in 2002 The game was noted for its ragdolllike movement when Zoids were hit back or killed In this game the Battle Mode is limited to only one set meaning that no matter what character the player chooses the battles are all the same That said the Battle Mode features characters and Zoids from Chaotic Century New Century and the Zoids VS story lines
