,id,name,platforms,summary,genres,rating,main,extra,completionist,review_score,review_count,people_polled
14,47858,Meitantei Conan & Kindaichi Shounen no Jikenbo: Meguri au Futari no Meitantei,[20],After receiving a distressing correspondence from a former classmate requesting his presence high school detective Hajime Kindaichi travels to Twilight Island to investigate the anguish behind the letter  Meanwhile as fate would have it Conan Edogawa has been introduced to a modern folktale by Professor Agasa on an island in the south that serves as a premiere tourist resort inhabitants have been mysteriously disappearing for extended periods of time before suddenly returning without explanation Whats more When they disappear they are transported to an alternate version of that very same island Intrigued Conan consents to investigate the case while his companions go on a vacation at the tourist trap known as Twilight Island  As the mystery deepens and it becomes clear their two cases are more related than it first seemed a grand case unfolds that requires the unmatched reasoning powers of both young detectives,"[9, 31]",Missing,,,,,,
15,43953,Chaos;Head Noah,"[6, 9, 12, 34, 38, 39, 46, 130]",Adventure game of psycho suspense touch that makes Delusion key word  Story advanced by two or more aspects centering on continuous bizarre murder event The new generations frenzy that occurs in Shibuya  Six heroines appear In heroines peculiar route various ends and the mysteries,"[31, 34]",Missing,28.37,41.49,45.44,74.0,44.0,74.0
16,7928,Imagine: Cheerleader,[20],Missing,[13],Missing,,,,,,
17,69261,Art Style: precipice,[159],A 3D box puzzle game for DSiWare The player must navigate an ever growing tower of falling blocks without getting squashed,[9],77.0,0.0,0.0,0.0,60.0,1.0,0.0
18,21257,Peggle: Dual Shot,[20],Its the ultimate Peggle with dualscreen action Shoot and clear the orange pegs from 120 levels spanning two full adventure modes in this actionpacked PopCap hit Learn 11 Magic Powers score amazing style shots and discover the exclusive Bonus Underground filled with valuable gems and powerups And the action doesnt end there take your best shot in Multiplayer Duel and Quick Play modes then put your skills to the ultimate test with 90 challenges,"[9, 31]",77.0,7.58,11.0,0.0,80.0,5.0,9.0
19,21255,Legacy of Ys: Books I & II,"[6, 8, 20, 38, 150]",Two of gamings alltime classics are reborn on DS Stories tell of a land of yore now shrouded by centuries of time forgotten called Ys Despite its great knowledge endless wealth and bountiful prosperity a sudden and unexpected cataclysm devastated the realm Soon its memory had faded completely from the minds of man Centuries later a young adventurer named Adol set sail to explore the world and leave his mark on history During his travels he learned of the tragic tale of Esteria a once prosperous island now inexplicably engulfed by a crippling storm Adol plotted a course for the besieged isle curious to unravel the mystery Available to North American audiences for the first time this ultimate translation delivers the most substantial version of the famous Ys story ever made Two games in one Ys was released separately overseas but North American gamers get them together One of the longestrunning most beloved action RPGs of alltime Ys has features exclusive to DS including 3D graphics multiplayer touch support and more,[12],77.0,13.52,14.68,15.48,79.0,16.0,15.0
20,25176,Mr. Driller: Drill Till You Drop,"[20, 159]",Mr Driller Drill Till You Drop offes nonstop Drilling Action Featuring the classic addictive gameplay that the series is known for this DSi game has over 40 stages of nonstop drilling action Drill through a seemingly endless onslaught of colored blocks avoid falling obstacles and strategically manage your oxygen on the go with your Nintendo DSi,[9],73.0,0.0,0.0,0.0,0.0,0.0,0.0
21,21898,Moon,[20],Set on the Earths moon in the mid21st century in Moon players take on the role of Major Kane Chief of Military Operations for the Extra Terrestrial Encounter Organization ETEO you and your team have been brought in to investigate a series of strange happenings Ever since the Roswell incident it has been clear that Earth has been visited by other beings now a hundred years later it would seem that something similar may be happening on the moon Contact with a distant lunar outpost was lost shortly after they reported discovery of a hatch of alien origin during a routine excavation What follows could be the next giant leap forward for mankind but just what are we stepping into Whatever it is erratic energy readings from deep below the lunar surface has you thinking that it will not be a diplomatic mission  Welcome to the Moon Major,"[5, 9, 31]",73.0,4.54,5.67,8.42,68.0,13.0,13.0
22,47826,Art Style: Boxlife,[159],Cut paper into various shapes and create as many boxes as possible within the time limit to earn rewards  Climb the corporate ladder in the world of BOXLIFE using your wits and paper Use the Nintendo DSi Stylus to cut and then manipulate the paper into a box shape Be careful though if youre not efficient with your cuts youll waste paper and be penalized RD mode teaches you new patterns and then challenges you to complete various ranks while FACTORY mode gives you the chance to earn money by making as many boxes as possible from an endless sheet of paper Success in each mode brings its own reward clear ranks to be promoted and change your characters appearance and use your earnings to acquire new items for your characters miniature garden With its stylish graphics and catchy sound you may just find that thinking inside the box isnt such a bad thing sometimesGames in the Art Style series feature elegant design polished graphics and pickupandplay controls creating an experience focused purely on fun and engaging game play,[9],67.0,,,,,,
23,8980,Puzzle Quest: Galactrix,"[6, 9, 12, 20]",Puzzle Quest Galactrix or Galactrix is a puzzle video game developed by Infinite Interactive for the PC Nintendo DS Xbox 360s Xbox Live Arcade and PlayStation 3s PlayStation Network service  The game offers a fullfeatured campaign mode online multiplayer for 2 to 4 players and downloadable content including ships items plans planets factions and missions,"[9, 12, 15, 16]",50.0,16.25,20.17,21.39,54.0,14.0,12.0
24,47720,Shining Force Feather,[20],Missing,"[12, 15]",47.0,0.0,0.0,0.0,0.0,0.0,0.0
25,21254,XG Blast!,[20],XG Blast is an arcade shooter delivered in a bright and colorful retro style Players control the spaceship Aknathen which wandered into hostile territory during a secret experimental journey to test the spaceships capabilities and advanced devices Utilize the unique powers of your ship as you fight countless squadrons of enemy ships It is up to you to get your crew back in one piece and save your people from annihilation,[5],40.0,,,,,,
