,id,name,platforms,summary,storyline,genres,rating,main,extra,completionist,review_score,review_count,people_polled
31,20281,Miami Law,[20],All in one action and crime scene investigation Miami Police Detective Law Martin and FBI Agent Sara Starling must save Miami Sequences played as Sara include investigation and puzzle solving Sequences played as Law include more action with shootouts and car chases Unlockables include Sudoku and Texas Holdem for a little relaxing downtime during a tough investigation,Missing,[31],Missing,5.36,10.93,48.84,58.0,4.0,8.0
32,15045,Cake Mania 2,"[6, 14, 20]",After reopening the Evans Bakery and sending her grandparents on an exotic Hawaiian cruise Jill is back in an allnew outofthisworld series of adventures Help Jills college friend Risha in her posh northwestern rooftop bakery rescue her old flame Jack in his underwater theme park located on the ocean floor or wind up in 4 other farflung bakery locations each with its own unique layout  What awaits Jill Fame Fortune Love In Cake Mania 2 you choose which path Jill pursues with each decision leading to new baking challenges and dilemmas With 204 levels of baking and frosting madness 6 different possible endings and a branching nonlinear storyline its your decision to make in Cake Mania 2,Missing,"[9, 13]",Missing,0.0,0.0,10.83,70.0,4.0,3.0
33,4882,Garfield Gets Real,[20],In Garfield Gets Real players switch between Garfield and Odie as they play through seven areas of the game that all connect from the cartoon universe to the real world Each area has a key story challenge that progresses the player through the games chapters while completing 150 smaller tasks that will help them reach the key story challenges,Missing,Missing,Missing,0.0,0.0,0.0,0.0,0.0,0.0
34,1820,Dragon Quest IX: Sentinels of the Starry Skies,[20],In Dragon Quest IX Sentinels of the Starry Skies players begin their adventure as a city guardian who is sent to retrieve a sacred trees fruits which have the power to grant wishes Players travel the world conquer fearsome monsters and unravel an epic storyline During their journey players will encounter mighty opponents in fastpaced battles and also interact with a colorful cast of characters,Missing,[12],84.49429594893913,48.07,87.08,710.82,81.0,290.0,363.0
35,21124,Black Sigil: Blade of the Exiled,"[20, 24]",Bel Lenora is a world where people are born with magic at their command Years ago a single man walked the land with no magic in his veins He brought death and tragedy in his wake and was banished by a brave General at a great cost It has been fifteen years since his banishment and once again a young man with no magic walks the land of Bel Lenora  Join Kairu a young knight born with a cursed spirit,Missing,[12],80.0,27.5,29.68,51.92,67.0,7.0,8.0
36,50727,Puyo Puyo 7,"[5, 20, 38]",This is the 7th game in the main Puyo Puyo series which is denoted by the 7 A break from the previous Fever series games the game is set in a world similar to the real world instead of Primp Town In this game a new game mode known as Transformation was added as the default mode Five new characters were introduced and a few characters from past games in the series were reintroduced either as playable characters or cameos,The main story follows Ringos mission to try and stop Puyo from flooding her world Instead of the course system used in previous games the story is divided into six linear acts each act taking place in several different areas and each act being divided into several episodes Although some characters seem to join the party in a sort of Puyo Puyon fashion the player is only allowed to use Ringo for the first playthrough Completion of the game allows for the use of the other party members when one replays the episodes leading to alternate scenarios,[9],72.0,3.49,0.0,25.0,70.0,2.0,4.0
37,84551,Game & Watch Judge,"[37, 159]",Experience a piece of Nintendo history with the Game  Watch series for Nintendo DSiWare Each title is a perfect recreation of a classic LCD game from the early 1980s including normal Game A and alternate Game B modes,Missing,[33],70.0,0.22,0.0,0.0,0.0,0.0,1.0
38,47773,Okaeri! Chibi-Robo! Happy Richie Oosouji,[20],Okaeri ChibiRobo Happy Richie Oosouji is an Action Adventure game developed by Skip Ltd and published by Nintendo which was released in Japan in 2009,Missing,[31],60.0,,,,,,
39,54163,Line Rider: Freestyle,[20],Line Rider is a true phenomenon with a seemingly simple addictive principle Millions of gamers have already played the Internet version,Missing,Missing,58.0,,,,,,
40,15280,Bit.Trip Core,"[5, 6, 14, 37, 130]",BitTrip Core visits a darker place in CommanderVideos saga taking the player into unfamiliar territory as they use NESstyle controls to blast their way through the barrage of Beats in this rhythmmusic adventure,Missing,"[5, 7, 9, 32, 33]",50.0,1.74,5.4,13.2,67.0,18.0,14.0
