,id,name,platforms,storyline,summary,genres,main,extra,completionist,review_score,review_count,people_polled
12,269488,Madness Project Nexus: Legacy of the S-3LF Eater,[6],Missing,Legacy of the S3LF Eater a new Story Campaign update Investigate the origins of the Cyber Bandits and their enigmatic creator Dr Gonne while evading the pursuit of a relentless nightmare Rumor has it that the doctors laboratory below the Science Tower has recently opened up again,"[5, 32]",,,,,,
13,266964,Super Freaks Classic Pack,[6],Missing,Super Freaks Classic Pack compiles all of the original Super Freaks games all available in one collection It also includes the longawaited StratoScruffy A few of them include polished versions that have been rebalanced with bug fixes and qualityoflife features,"[5, 8]",,,,,,
14,266963,Strato-Scruffy,[6],Missing,Long awaited since 2009 StratoScruffy has now been finished Its a Fantasy Zonestyle shmup game with fancy graphics and bosses for its time,[5],,,,,,
15,266869,Shigeru Planet,[6],Missing,A boisterous and bizarre commotion Overrun the planet with chatterplants Propagate these eccentric yet endearing chatterplants only if you dare Operate a UFO and strive to spawn as many of them as you can before time runs out Revel in the outlandish frenzy that can only be experienced here on Shigeru Planet  The fourth release from the 2022 New Hire Onboarding Program at Bandai Namco Studios,"[13, 33]",,,,,,
16,266864,Excycle,[6],Missing,Drag your friends into this mischievous fourplayer unicycle racing game Get your unicycle rolling with the mouse wheel and cruise your way through hazardous obstacles and racetracks all while ramming into your rivals Push shove and kick up a fuss in EXCYCLE  The third release from the 2022 New Hire Onboarding Program at Bandai Namco Studios,"[8, 10]",,,,,,
17,266860,Endrays,[6],Missing,Wield a piercing laser without inhibition at the tip of your fingers  your mouse Indulge in Endrays a devastating weapon of mass destruction and drive the resistance of humanity into merciless extinction What awaits you when this battle comes to an end  The second release from the 2022 New Hire Onboarding Program at Bandai Namco Studios,"[5, 13, 33]",,,,,,
18,266729,Hook & Kaiju,[6],Missing,Maneuver the airship and hook the Kaijus body to make it lose balance and fall over As the newest member of the airship unit lay siege on the Kaiju and defend the towers at all costs  The first release from the 2022 New Hire Onboarding Program at Bandai Namco Studios,[32],,,,,,
19,265997,Autophagy,[6],Missing,AutophagyWAD is an old school megawad aiming for a mixture of Evilution Scythe Demonfear and other classic experiences Levels range from very easy to moderately challenging This should be played in dsdadoom complevel 2 33 retro maps with fast and intense action,[5],,,,,,
20,265734,GravytX The Gravytoid,"[3, 6, 14, 34]",Missing,Play as GravytX an alien who has the ability to control objects remotely and manipulate gravity Travel the universe to save the peoples who are under the domination of the Vodouas Malicious beings who want to conquer the universe and bring peace to their Planets,"[8, 9, 31, 32, 33]",,,,,,
21,265678,Dogs of the Dark,[6],Addie Mayweather or just Addie has been brought to another world known as THE DARK by one of its princes Dexter He needs Addies assistance in reaching the capital of a kingdom he was exiled from in order to reclaim his throne as king,Dogs of the Dark is a roleplaying game that pulls inspiration from retro RPGs from the 90s and the quirky ones from the 2000s It features a full 5 chapter campaign filled with dumb jokes strange characters and retro pixel art graphics akin to 8bit or 16bit games,"[9, 12]",,,,,,
22,263022,Toxicity,[6],Missing,This is a medium challenge map with about 220 monsters on UV and an expected playtime of 2030 minutes depending on how much you explore or die It takes place in a fairly large and open area but its structured so that you are still guided along an intended path and its your choice to explore off that path or not,[5],,,,,,
23,262267,En Campaña,[6],Missing,One last map before my surgery for scoliosis This ones a small limitremoving stroll Only 94 monsters It should take you no more than 7 or 8 minutes to beat on your first go,[5],,,,,,
24,261547,Hai Byouin Tansaku,[6],Missing,The protagonist heads to an abandoned hospital at the request of a friend A firstperson horror game about finding out what happened in an abandoned hospital,[32],,,,,,
25,261467,Team Fortress 2 Classic: Fight or Flight,[6],Missing,The Fight or Flight update was the second major update for Team Fortress 2 Classic  True to its namesake it focused on content related to mobility as well as several weapons and maps Its flagship feature is the Jump Pad an Engineer building that allows taking to the skies The AntiAircraft Cannon was designed for Heavy to swat enemies out of the air while the Twin Barrel affords Pyro greater mobility The Brick gives Scout a hardhitting projectile while the Heavy gains Chekhovs Punch and the Pyro gains the Harvester  both weapons that store critical hits for later Finally Lescampette gives the Spy an alternate watch allowing for easier escapes  The update also introduces the Arena map Floodgate the FourTeam King of the Hill map Frigid the Payload map Jinn the FourTeam Medieval Mode map Krepost and the new Territorial Domination game mode with the map Caper,[5],,,,,,
26,261244,Forget Your Chains,[6],Missing,Forget Your Chains is a visual psychological horror novel about the horrors of forgetting anti psychotics  Play as Nonnie a strange girl with schizoaffective disorder and try to make the right decisions for her survival Explore her world an empty home through her eyes and mind Interact with strange  surreal characters as you try to search for medication or try to create safety,[34],,,,,,
27,260990,Elden Ring: The Convergence,[6],Missing,The Convergence mod is an exhaustive overhaul of Elden Ring with dozens of new weapons hundreds of new spells extensively revamped areas and maps improved visuals new enemies bosses and much more,"[12, 31]",,,,,,
28,260505,Limit Buffet,[6],Missing,Limit Buffet is a 39map limitremoving community megawad made of maps and songs which each adhere to their own strict limitations Perhaps youve seen wads based on such mapping limitations using only 100 linedefs 64 vertices or 30 monsters for example Limit Buffet samples a variety of these ideas some traditional some zany Weve even got a full soundtrack in this spirit,[5],,,,,,
29,260504,Arrokoth,[6],Missing,Dark and Moody vanillacompatible E1 replacement for The Ultimate Doom,[5],,,,,,
30,259945,Endgame of Devil,[6],Missing,As the Devil command your minions to defeat the greedy adventurers Explore over a hundred unique followers sixty diverse monsters and discover various battle strategies Enjoy the convenience of oneclick auto battles,"[15, 32]",0.0,0.0,0.0,0.0,0.0,0.0
31,259717,YaoGuai Hunter,[6],In a world where humans and YaoGuai coexist these YaoGuai with magical powers pose a threat To combat this danger individuals called YaoGuai hunters are trained in martial arts and spells to fight against them You will play as a heroic demon hunter battling a horde of YaoGuai,YaoGuai Hunter is a Wuxia roguelike deckbuilding game In a world where YaoGuai roam free player battles with various evil beings collecting cards and learn inner skills Encountering various adventures in the martial world,"[12, 15, 24, 32, 35]",,,,,,
32,257831,Path of Exile: Crucible,"[6, 48, 49]",Missing,In Path of Exile Crucible youll learn about the ancient titans who once shaped the primordial surface of Wraeclast If youre powerful enough you will earn the ability to forge their power onto your weapons  Our April expansion introduces the Crucible challenge league nine new Vaal Skills Atlas Gateways over ten new Unique Items and improvements to Breach Abyss Passive Tree Masteries the Saboteur the Pathfinder Ruthless and much more,Missing,,,,,,
33,257746,Escape from Slime City,[6],Missing,Escape from Slime City is a short and linear BoomCompatable singleplayer map set in the titular urban environment of SLIME CITY  Fight hells legions as you weave through urban streets and buildings while keeping your feet out of the toxic slime overtaking the city Can you survive as you make your way back to your car parked on the other side of town Can you find all of the Doomguy dolls scattered throughout the city,[5],,,,,,
34,257745,Hotfix93,[6],Missing,Hotfix93 is a short and linear BoomCompatable singleplayer map bookended with even shorter noncombat maps set inside of Doomguys PC  Have you ever wondered what the inside of a computer looks like Nobody truly knows However Doomguy is going to find out After installing a DEMONIC VIRUS onto his UACDOS personal computer Doomguy is left with no choice but go in there himself to clear them out,[5],,,,,,
35,257597,Boxbrawl Delivery,"[6, 82]",Missing,Welcome to Boxbrawl Delivery Run n jump grab n go and haul n brawl with the best delivery service in the business  Take the role of Carter deliveryman for Zaplift aiming to satisfy the town and score a good tip With plenty of pests running amok and with your coworker Carrie watching over the inventory its up to you to ensure your customers get their goods in one piece Can you deliver on your promises or will your customers ratings say otherwise,Missing,,,,,,
36,257551,Tailor Tales: James Plus,[6],Missing,Tailor Tales James Plus adds a longer epilogue for James This epilogue is filled with explicit adult content and features the final 10th CG You also unlock the ability to skip gold and dress requirements for each chapter,"[13, 34]",,,,,,
37,257479,Genshin Impact: A Parade of Providence,"[6, 34, 39, 48, 167]",Joy and sorrow are constant companions to life and the endless flow of historys long river runs ever unceasing Life is but a journey with love and beauty as its salves and wisdom as its balm,Version 36 of Genshin Impact which included  New characters Baizhu and Kaveh  New areas Gavireh Lajavard and Realm of Farakhkert  New hangout events for Layla  New story quests for Baizhu and Nahida  New main event A Parade of Providence  and more,"[12, 31]",,,,,,
38,256961,Blood Moon,[6],Missing,Youre a werewolf Youre in a city infested with witches hunters ghosts and vampires Thats how this story starts You decide how it ends,"[12, 32]",7.87,0.0,0.0,80.0,1.0,2.0
39,256494,Grow Light,"[6, 82]",Missing,A short game about a botanist banished to the moon for attempting to create sentient plant life They move through the sections of their circular lunar base talking to plants drinking tea reading old personal logs and meditating on rejection and isolation,[32],,,,,,
40,256315,Traveler's Game,[6],Missing,You are Camus Chen Yesterday you received a video mail from your friend Lu He thinks you have too few friends and recommends you a popular game This is a battle game but many people use it as a chat room Lu told you so  You decided to join your friends in this game to meet new opponents and chat with them while playing against them Lu wants you to chill  But what you didnt expect is that some of your opponents will have a connection to your life in the future One of them will even learn the great secret behind you and your friends,"[11, 32]",,,,,,
41,256292,CoopValor 2056: Ukraine WW3,[6],Missing,Fight in Ukraine as a soldier of the Ukrainian special forces or the International Legion Fight alone or with friends against AI enemies and other players to reconquer Europe,[5],,,,,,
42,256005,Drevepsina,"[6, 34, 39]",Missing,Combat focused minimalist RTS,"[11, 15]",,,,,,
43,255477,Life Changer,[6],Missing,Life Changer is a life simulation RPG where you can take on a solo or multiplayer path of personal development Seek opportunities through exploration acquire skills education advance your career invest and grow businesses to achieve life goals and realize your dream life,"[12, 13, 15]",,,,,,
44,255451,Semiaquatic Circus,"[3, 6, 14]",Missing,Semiaquatic Circus is an episodicallyupdating friendsim styled VN There is a hidden affection meter in each chapter Gaining enough affection will allow you to successfully complete a chapter Game takes around 10 minutes per chapter more or less,"[32, 34]",,,,,,
45,255102,Something's in the Air Redux,[6],Missing,Somethings In The Air Redux is a sequel to Date Ariane Remastered but it is designed to be a standalone game  In part a remastering of the original Somethings In The Air 2013 but with a streamlined story and playable as either a straight male or gay female character each with slightly different content,"[32, 34]",,,,,,
46,254564,Guilty Gear: Strive - Additional Battle Stage: Fairy's Forest Factory,"[6, 48, 49, 167, 169]",Missing,The additional battle stage Fairys Forest Factory becomes selectable ingame,[4],,,,,,
47,254532,Yudashi Peril: Floraison,"[3, 6, 14]",Missing,The year is 2013 and Homura Asano is trying to get by as a second year at the prestigious Ainami Academy Up until the beginning of the second semester she hasnt had much in the way of friends hasnt participated in any clubs and has never had a girlfriend Most of all she has a strong premonition that she will not live to see her third year Is it possible to change the course of her life and avert this fate  Throughout the course of the game you will be able to raise Homuras stats by choosing different activities and make attempts to get closer to other girls at school in order to forge bonds through route events While romance plays a significant part in her life and desires not every route is romantic Friendship plays just as valuable a role as dating in her story,[34],,,,,,
48,254480,Angelic Chaos Re-Boot!,[6],Missing,It began as a day just like any other A dull morning an uneventful trip to school an afternoon of tedious lectures And then I met her,[31],,,,,,
49,254442,Know What I Meme,"[3, 6, 14, 34, 39, 82]",Missing,Know What I Meme is a social party game of GIFs memes and good times Select a text setup for the meme browse to find the perfect GIF response then everyone votes on which was their favorite Earn points to prove just how funny you are Up to 9 players can play but anyone can watch the fun,Missing,,,,,,
50,253098,A Bit Tied Up,"[3, 6, 14, 82]",Missing,A heros journey isnt one of constant victory Thalius knows that extremely well But hes never down for the count for long Whenever hes captured by his archnemesis Xinali hes able to use his wiles to piece together clues from the villainous mages evil monologues in order to get back on his feet  ExceptThalius didnt get much sleep last night So when he wakes up with his arms bound to a dungeon wall at the very end of the speech with a menacing silhouette walking away from him hes kind of at a loss,"[32, 34]",,,,,,
51,253097,Bowling for Apples: A Special Apples to Ashes Episode,"[3, 6, 14, 82]",Missing,Short noncanon episode of Apples to Ashes,"[32, 34]",,,,,,
52,253039,Beat Banger,[6],Missing,Beat Banger is a mature furry rhythm game You are the lone protagonist in a ragstobitches story Work your way to the top of Beat Banger Studios a small and rhythmic porn production company in desperate need of assistance You apply for a simple production job but the CEO has another position in mind for you Jump in now You wont want to miss a beat,[7],0.0,0.0,0.0,0.0,0.0,0.0
53,252538,Endless Days II,[6],Missing,After some lighthouse keepers mysteriously disappear Matthews a police detective goes to the island to investigate and find out whats going on  He agrees to look after the lighthouse for six months while he investigates the island But something terrible is about to unfold,[32],,,,,,
54,252383,Monster Hunter Rise: Title Update 5,"[6, 130]",Missing,The Looming Calamity Amatsu has set its gaze on Kamura Village Experience the thrilling climax to the Monster Hunter Rise story with Free Title Update 5,[31],,,,,,
55,252206,Evil Dead: The Game - Who's Your Daddy Bundle,"[6, 49, 169]",Missing,Evil Dead The Game  Whos Your Daddy Bundle Packed with fan favorites from the STARZ TV series Ash vs Evil Dead  New Survivor Brock Williams  New Demon Schemer  New Outfits  Ash Ashy Slashy  Amanda Duty Calls  Pablo El Brujo Especial,[5],,,,,,
56,252176,Seijundrop,[6],Missing,Your rather quiet classmates little brother went missing and she asks you to help her look for him,"[9, 31]",,,,,,
57,252123,Cursed Halo Again,[6],Missing,Cursed Halo is a mod for Halo Combat Evolved Anniversary that turns the game into a chaotic experience New Levels Weapons Enemy variations Vehicles etc,[5],,,,,,
58,252087,Marathon: Istoria,[6],Missing,Marathon Istoria is an RPG scenario set in the Marathon universe and designed for the Aleph One engine It pushes the engine to its limits by using advanced character progression combat and storytelling  Customize your character by choosing your class and deciding which weapons you want to specialize in Utilize the conventional weapons you are familiar with along with a brand new arsenal of spells and abilities Explore Istoria while discovering its secrets and how you fit in the world through a combination of terminals and communicating with the recently deceased  People that have played other Bungie games may recognize some influences from Pathways Into Darkness and Myth A few sounds the weapon leveling level transitions with saved state and ability to talk to the dead are ideas largely taken from PiD People familiar with Myth may recognize a couple of the spells you get in the game,Missing,,,,,,
59,251268,Emerald Wasp,"[3, 6, 14]",Missing,Operation Rassvet was a model of surprise  It started as an intelligence operation and ended up becoming one of the most mysterious disappearences to these days None of the members were found Forgotten by the world the last survivor is hiding in the shadows,[12],,,,,,
60,251267,Grisaia: Chronos Rebellion,[6],If you order me to Master Ill wipe out all of humanity  SORD Social Ops Research  Development is an agency that was established to recruit and train talented operatives for special antiterrorism units All kinds of misfit girls are enlisted in SORDs training schools They are issued guns and live ammunition in the name of national defense for that is the only way they could be granted a place in the world Arata is the handler of Class D at Mihama Academy a school for SORD Class D is nicknamed Dead Stock because its full of thirdrate students In order to increase his students chances of survival Arata trains them using PeTS an experimental neural signal synchronization technology  During one extrajudicial mission he finds a mysterious girl sleeping inside an incubator at a terrorist hideout As if drawn together by fate Arata is able to sync with her using PeTS and the two narrowly escape with their lives The girl introduces herself as L and Arata welcomes her into Class D  These events trigger the beginning of Class Ds fight against the mysterious terrorist organization Hadeo  This is a story of girls who with nowhere else to go have chosen the path of the gun,The newest installment in the Grisaia visual novel series All of the girls from Mihama past and present must face off against a new evil terrorist organization in an allout war,"[31, 34]",,,,,,
61,251064,Syndoy,[6],Missing,Syndoy is a Japanese Yume Nikki fangame,[31],,,,,,
62,250442,Qi Yun Yi Meng,[6],One afternoon the protagonist Fang Zhe receives a package in which the clues points to his mother who have been missing for many years Recurring nightmares horrifying whistles letters from many years ago Fang Zhe embarks on a strange adventure to find the truth,Qi Yun Yi Meng translated as Clouds of Dreams is a narrativedriven pointandclick adventure puzzle game,"[2, 9, 31]",,,,,,
63,250309,Guilty Gear: Strive - Additional Character 8: Bedman?,"[6, 48, 49, 167, 169]",The bed can continue to act independently after Bedmans death due to the program he entered in his last moments Delilah recovers it after it plays a part in stopping her when she loses control It mainly takes action to protect Delilah Although capable of simple communication complex conversation taking the other party into consideration and storage of daily memories is out of the scope of its abilities,Adds Bedman to the roster of playable characters,[4],,,,,,
64,250132,Axel in Harlem: The Game,"[3, 6, 14, 34]",Missing,Youre the chosen one to help him gather homies for his night parties Guide him to victory before the time runs out,Missing,,,,,,
65,249430,Love Next Door,[6],Missing,Have you ever looked at a door and thought Wow Id love to go on a date with that Well now you can in Love Next Door Swipe on a door you want to date and talk your way into their hearts Dont worry about how unhinged they may be,"[32, 34]",,,,,,
66,249392,Go! Go! Hamster Chef!,[6],Missing,Help Hamster Chef cook yummy dishes for his animal pals This is a fun innocent game which does not contain any dark twist,Missing,,,,,,
67,248729,Bleeding Canvas,[6],Missing,Your college crush Mikey seems to be the perfect boy for you Hes artsy yet extroverted sometimes a bit stupid and socially inept But thats why you love him You didnt think you had a chance with him as you only ever talked to him in passing conversations but when you try to follow him home you discover something about him that definitely proves his undying love for you  There are four endings Two bad endings a good ending and a notsosecret secret ending,[34],,,,,,
68,248600,DC Universe Online: Episode 45 - Shock to the System,"[6, 48, 49, 130]",Missing,Shock to the System is tier 6 playable content that contains the open world Dakota City the duo Shock Abandoned Subway the alert Shock MetaTherapy Clinic and the raid Shock The Terrorium,[12],,,,,,
69,248578,Maerl Bay,"[6, 82]",Missing,Maerl Bay is a deepsea diving game about finding and cataloguing algae beds of maerl found within Swedish waters Pilot Calvin the Drone and snap as many photos of maerl as you can before bringing them back up topwatch out for the treacherous marine life below and keep an eye on your battery,Missing,,,,,,
70,248374,Galeao's Dreams,"[6, 34]",Missing,Galeãos Dreams takes players on an exciting adventure through a series of dreamscapes where theyll have to navigate various obstacles and defeat enemies to save the villagers of DreamsLand As Galeão players will face off against a range of enemies  The games retroinspired graphics and music will transport players back to the golden age of platformers in the 80s and 90s The visuals are rendered in 16bits giving the game a classic pixelated look that pays homage to the NES games of old The music is upbeat and catchy with chiptunestyle melodies that will keep players engaged and motivated as they progress through the levels  Galeãos abilities are relatively simple but players will need to master them to make it through the levels unscathed He can jump to avoid obstacles and he can also turn into a Tornado when jumping to attack enemies Players will need to time their attacks carefully to take down enemies without getting hit themselves  The ultimate goal of Galeãos Dreams is to defeat Galeãos evil brother Peter and his henchmen Galebot the Slippers and TokTok Peters motivation for attacking DreamsLand is simple he wants to take over the world and plunge it into darkness Galeão is the only one who can stop him and hell need to use all his skills and abilities to save the day,[8],,,,,,
71,248325,Just Keep Running,"[6, 14]",The story seems to take place in the future with dates ingame indicating that the story is set in the early 22nd century The player takes the role of a superhuman person trained to become a supersoldier for Panthera a futuristic authoritarian government The player is later tasked with escaping the laboratory and testing facilities they find themselves trapped in with the help of an underground rebellion group,Just Keep Running is a parkour puzzleplatformer that combines freerunning with quick puzzles and problemsolving Gameplay is said to be inspired by Mirrors Edge Portal and Ultrakill with voxel graphics inspired by Teardown The Touryst and Cloudpunk,"[8, 9, 31, 32]",,,,,,
72,248233,Ash of Gods: The Way - Deluxe Edition,[6],Missing,Get the turnbased storydriven tactical card game with hand crafted battles plus digital extras including soundtrack and art book,"[12, 15, 16, 24, 32, 35]",,,,,,
73,248112,The Witch of Sherdorne Forest,[6],This is a horror game which shares connections to The Crypt Terror Its recommended that you play this game in the dark loud and with headphones on for the best experience,The Lords son has vanished and you decide to venture out in search of the boy,[31],,,,,,
74,248094,Infernax: Deux or Die,"[6, 48, 49, 169]",Missing,The update will bring a new playable character into the fray Cervul the Squire a wellrounded lad who sports deadly talents in both axe throwing and toolassisted combat  It also incorporates coop play in Infernaxs fanfavorite gun mode perfect for players keen on wielding maximum firepower against the games monstrous beasts,"[8, 12, 31, 32, 33]",,,,,,
75,248093,Meet Your Maker: Scorched Necropolis,"[6, 48, 49, 167, 169]",Missing,Meet Your Makers Scorched Necropolis Collection invites players to build and raid Outposts worthy of the Pharaohs themselves Use ancientEgyptianinspired blocks props weapons and Custodian Suits to create and infiltrate monumental tombs unlike any in the wasteland,"[5, 15, 24]",,,,,,
76,248047,Medieval Simulators: Baker,[6],Missing,A relaxing simulator for lovers of the Middle Ages and nature You take on the role of a medieval baker who has to earn coins improve his own farm harvest wheat grind grain chop wood and bake,"[12, 13, 32]",,,,,,
77,247960,Elena's Journal: To Atlantis,[6],Missing,Discover the lost secrets of Atlantis in this Time Management Adventure,"[15, 31]",,,,,,
78,247959,Profi Girls,[6],Missing,We girls of different professions are looking for a boss A boss should be tough but gentle decisive and firm Among us there is a brave firefighter a sweet cook a dreamy stewardess and others Keep in mind that we need a real boss whom we would like to obey,[32],,,,,,
79,247928,Swap,"[3, 6, 14, 34, 39]",Missing,Swap is a simple yet brutally difficult game that will frustrate and personally insult you Hone your reflexes and steel your emotions to uncover an unexpected story Or just give up now and save us all some time the choice is yours,"[32, 33]",,,,,,
80,247776,Kemono Friends: Opening Day,"[3, 6, 14]",Missing,A fan visual novel where you join Nana at Japari Park as new caretaker Fun and food await in adventures with an energetic serval cat and an always hungry fox,"[31, 32]",,,,,,
81,247757,Unboxing the Cryptic Killer,"[6, 14, 34, 39]",Missing,Unravel the mystery of a cryptic box in this 2player coop puzzle game Join forces as two detectives solve cooperative puzzles communicate effectively crack the codes and outsmart the killer,"[9, 31]",2.2,2.67,3.5,68.0,4.0,10.0
82,247737,Grim Tales: Dual Disposition - Collector's Edition,"[6, 14]",Missing,When a souvenir shop dealing in oddities is ransacked youre shocked when youre the prime suspect Your double has come from another reality to disrupt the flow of magic taking your abilities in the process Can you save the sources of magic and clear your name in time,[31],,,,,,
83,247652,EcoMahjong,"[6, 14, 130]",Missing,The classic Mahjong game with a thrilling story,"[9, 15, 33, 35]",,,,,,
84,247607,Sex Simulator: The Beach House,"[3, 6, 14]",Missing,An interactive sex simulation game with visual novel elements featuring HD graphics and videos with realistic looking characters set in a beautiful decor You play the role of a hot man who has sex with three lucky women inside his luxurious beach house,"[13, 32]",,,,,,
85,247514,Erobos Heaven,[6],Missing,This is a short very uncanny horror game focusing on darkness Answering to your prayers you get teleported into Salvations land  But what answered your prayers,[31],,,,,,
86,247512,Voltorometer Recharged+,[6],Escape from the factories as Volt,A remake of the game Voltorometer released in 2009 with improved graphics sound controller support and more than 3 times the amount of content  A simple platformer run and jump to reach the end of each stage and progress through all the worlds to destroy the factories that trapped you and tried to harvest your electrical energy unlock new modes and challenges by collecting all the power orbs in each level,[8],,,,,,
87,247443,Xenon Runner,[6],Missing,Xenon Runner is a fast paced speedrunning parkour FPS where you compete against yourself your friends and the world Utilize grappling power sliding recoil knockback and wallrunning to complete the levels as fast as possible,[10],,,,,,
88,247441,Unalive 010,"[6, 48, 130]",Missing,Welcome to the captivating world of Unalive  a game where the hero must battle fierce monsters using their shooting skills You will navigate randomly generated room labyrinths and face challenging bosses while mysterious events unfold throughout the game Be prepared for unpredictable challenges and tests at every turn creating an immersive atmosphere that draws the player deeper into the worlds mysteries and enigmas Will you be able to unravel all the secrets of Unalive Only time will tell,"[5, 12, 31, 32]",,,,,,
89,247429,Digital Exorcist Case_(0);,[6],Missing,Step into a dark world where cyberdemons haunt humankind When mutilated bodies start appearing all over this sleepy town in the Mississippi inaka Sawyer exAgency operative now unemployed shutin must exorcise the demon perpetrator in this storyrich PC98 style adventure game,"[12, 31, 32]",,,,,,
90,247423,Galactic Civilizations IV: Supernova,[6],Missing,You are the leader of a spacefaring civilization at the dawn of the 24th century whose choices for domination are endless planetary conquest cultural domination political alliances technological supremacy Your mission is to spread your civilization across the known universe,"[13, 15, 32]",0.0,0.0,0.0,0.0,0.0,0.0
91,247420,Everlasting Abundance,[6],Missing,A greedy AAA game company rules the world with an iron fist You must join a faction of independent rebels and defeat the tyranny of Everlasting Abundance Can you succeed Is it all just a pointless dream,"[12, 32]",,,,,,
92,247419,Cursed Fables: Twisted Tower,[6],Missing,Can you stop a soulstealing monster from terrorizing the kingdom,[31],,,,,,
93,247418,Enid,[6],Missing,Help Enid stay aflame while exploring the forest and playing minigames with woodland creatures,"[12, 32]",,,,,,
94,247367,Holmes Sherlock & Mycroft,[6],Missing,Play and get the most clues ask witnesses for help and manage to solve the case by the end of the week before your opponent with your clues,[32],0.0,0.0,0.0,0.0,0.0,0.0
95,247352,Re:Curse,[6],Missing,ReCurse is a surreal RPGmaker horror game by Dev Palmer Play as distractionprone researcher Linda Langley and explore as your laboratory distorts and degrades around you Send emails Grapple with your clown infestation Face consequences Maybe even survive,"[12, 32]",,,,,,
96,247286,Mais qui est le vrai Roro?,[6],Enter the wacky and crazy world of Mais qui est le vrai Roro  an exciting game of hideandseek that will keep you on the edge of your seat until the very last second But beware this time youre facing off against your Twitch community in a fierce battle to uncover the true Roro  Take on the role of the famous streamer and podcaster Roro who must complete his daily tasks in his apartment invaded by fake Roros Among them youll find racing Roros an adorable cat named Fluffy and even the expert in decoration MarcEmmanuel  At the end of each round your audience must vote to determine who the real Roro is Each completed or failed task will eliminate fake Roros or unlock powers to muddy the waters  So are you ready to take on the challenge and prove to your community that youre the master of the game Play Mais qui est le vrai Roro now and find out if youre the best Twitch detective,Enter the wacky and crazy world of Mais qui est le vrai Roro  an exciting game of hideandseek that will keep you on the edge of your seat until the very last second But beware this time youre facing off against your Twitch community in a fierce battle to uncover the true Roro  Take on the role of the famous streamer and podcaster Roro who must complete his daily tasks in his apartment invaded by fake Roros Among them youll find racing Roros an adorable cat named Fluffy and even the expert in decoration MarcEmmanuel  At the end of each round your audience must vote to determine who the real Roro is Each completed or failed task will eliminate fake Roros or unlock powers to muddy the waters  So are you ready to take on the challenge and prove to your community that youre the master of the game Play Mais qui est le vrai Roro now and find out if youre the best Twitch detective,[15],,,,,,
